En,Nk
creeping plants,덩굴식물
creeping things,파충류
creeping inflation,천천히 진행되는 통화팽창
Louisiana,미국 의 속칭
a crepuscular period,반개화시대
a family crest,가문의 표식무늬
on the crest of a wave,물마루를 타고 의기양양하여
He came back emptyhanded and crestfallen,그는 빈손으로 사기가 죽어 돌아왔다
an ambulance crew,구급차승조
Do you still hang out with the same crew,아직 그 패거리와 함께 밀려다니니
cribbite,수의
cribbiting,수의
crib,광산
get a crick in the neck,목이 돌지 않게 되다
By crikey,이것 참
make it a crime to drink alcohol,술을 마시는것을 위법으로 하다
at the scene of the crime,범죄현장에서
crimes against the State,국사범
the victims of crime,범죄행위의 희생물들
commit crime,죄를 범하다
combat crime,범죄와 싸우다
turn to crime,범죄의 길에 들어서다
crime rate,범죄률
focus more on crime prevention,범죄를 미연에 방지하는데 더 집중하다
his biggest crime,그가 저지른 가장 나쁜짓
a life of crime,죄악에 찬 한생
crime doesn't pay,죄를 지어야 좋을게 없다
its a crime,은 몹시 잘못된 짓이다
It would be a crime to waste all that good food,그 좋은 음식을 버리는것은 죄악이다
a habitual criminal,상습범
a hardened criminal,전과상습범
a criminal activity,범행
a criminal activity,범죄행위
a criminal offence,범죄
criminal damage,재산침해
a criminal case,형사사건
face criminal charges,형사처벌을 받다
a criminous clerk,죄를 저지른 사무원
Her face was crimson with embarrassment,당황하여 그의 얼굴은 홍당무가 되였다
be surrounded by cringing yesmen and sycophants,비굴한 아첨쟁이들과 발라맞춤쟁이들에게 둘러쌓이다
By cripes,이것 참
be in crisis,위기에 처하다
economic crisis,경제위기
go through a crisis,위기를 겪다
The streets ran in a regular crisscross pattern,거리들은 가로세로 정연하게 뻗어있었다
a film critic,영화평론가
a critical analysis,비판적인 분석
a critical eye,평가하는 안목
a critical edition,수정판
"After while, crocodile",후에 만나세
a crofting community,소작마을
dolmen,고고
by hook,무슨짓을 해서든지
by crook,어떻게 해서라도
a crook knee,상한 무릎
His teeth were yellow and crooked,그의 이발은 누렇고 들쑹날쑹이였다
narrow crooked streets,비좁고 오불꼬불한 거리들
its not you i'm crooked on,당신에게 화를 내는것이 아니다
crooner,특히 남성가수
an average crop,평년작
increased crop yields,늘어난 수확고
the current crop of politicians,현재의 정치가들
in crop under crop,농작물이 심어져있는
out of crop,농작물이 심어져있지 않은
the black crop,콩종류의 농작물
The southern areas are cropped in cotton,남쪽지방에는 목화를 심는다
Your name kept cropping up in conversation,당신의 이름이 대화과정에 계속 나왔다
a good cropper,잘 되는 농작물
put a cross on the map,지도에 십자표식을 하다
"No cross, no crown",고생끝에 락이 온다
the Cross Versus the Crescent,그리스도교 대 이슬람교
the holy Cross,예수가 못박힌 십자가
the true Cross,예수가 못박힌 십자가
the real Cross,예수가 못박힌 십자가
the Saint Cross,예수가 못박힌 십자가
cross the Atlantic twice,대서양을 두번 횡단하다
cross the border,국경을 넘다
cross over the bridge,다리를 건느다
A look of surprise crossed her face,그의 얼굴에 놀라움이 비꼈다
cross it off the list,그것을 명단에서 그어없애다
as cross as two sticks,매우 기분나쁜
as cross as two sticks,몹시 화가 난
at cross purposes,서로 오해하여
at cross purposes,목적이 엇갈려
We had been talking at cross purposes,우리들은 서로 딴소리를 하고있었다
crossborder trade,변강무역
crossborder attack,국경침범
have a good crossing,항해하기에는 바다가 잔잔하다
have a rough crossing,항해하기에는 바다가 거칠다
at the next crossroads,다음번 십자로에서
a career crossroads,인생의 갈림길
crosswise,불쾌하게 반대하여
do the crossword,글자맞추기놀이를 하다
crouch down in the trench,참호에 웅크리다
as the crow flies,일직선으로
as the crow flies,지름길로 가서
disperse a crowd of demonstrators,시위군중을 해산하다
Saturdays game was watched by a capacity crowd,관중이 꽉 들어차서 토요일경기를 지켜보았다
stand out from the crowd,일반사람과 구별되다
the crowd of tall buildings,수많은 고층건물들
crowd round the table,식탁주위를 촘촘히 둘러싸다
Holidaymakers crowded the beaches,해변가는 휴식하는 사람들로 붐비였다
Strange thoughts and worries were crowding his mind,그의 마음은 이상한 생각과 걱정거리로 꽉 차있었다
crowded solitude,군중속에서 느끼는 고독감
crowded freckles,자드락자드락한 주근깨
a crowded day,다사한 하루
win the world crown,세계선수권을 쟁취하다
a hat with a high crown,운두가 높은 모자
be crowned king,왕위에 오르다
be crowned world champion,세계선수권보유자로 정식 인정되다
to crown it all,게다가
to crown it all,그 우에 마침내
to crown it all,결국
Madacascar,섬산 바늘모양의 가시가 있는 버들옻속의 떨기나무
a crucial stage,결정적인 단계
be in the crucible of,의 준엄한 시련을 겪고있다
be cruel to animals,동물을 학대하다
be cruel to be kind,빨리 고치자고 아프게 하다
a battle cruiser,순양전함
a crumb of comfort,한쪼각의 위안
when it comes to the crunch,긴급할 때
when it comes to the crunch,위급한 순간에
a global information cruncher,세계적인 정보처리기
the widows cruse,과부의 항아리 무진장
crush a pill between two spoons,숟가락 두개사이에 알약을 넣고 바스러뜨리다
crush down all opposition,모든 반대를 물리치다
have a crush on,에게 홀딱 반하다
the upper crust,상류층
cry for joy,기뻐서 울다
cry tears of joy,기쁨의 눈물을 흘리다
cry bitter tears,피눈물을 흘리다
He cried that he would not go,그는 가지 않겠노라고 웨쳤다
cry foul,항의하다
cry stinking fish,자기것을 깎아내리다
Its no use crying over spilt milk,엎지른 물은 도로 담을수 없다
I felt too terrified to even cry out for help,나는 너무 무서워 도와달라고 소리칠수도 없었다
The kitchen is crying out for a coat of paint,부엌에는 급히 도색을 하여야 한다
cry from the heart,강렬한 항의
out of cry,소리가 미치지 않는 곳에
out of cry,멀리에
out of all cry,리성을 넘어
out of all cry,과도하게
a crying shame,커다란 수치
Central Standard Time,중앙표준시간
Civil Service Union,공무원로조
Comprehensive Test Ban Treaty,포괄적핵시험금지조약
matador,투우장에서 를 돕는 투우사의 한 패
cub reporter,견습생
cub reporter,풋내기
cub reporter,햇내기
the cuboid bone,립방골
take up the cudgels,곤봉을 들고 싸우다
off the cuff,준비없이
off the cuff,즉석에서
at cuffs,서로 주먹질하여
cuffs and kicks,치고박고
culinary art,료리법
culinary vegetables,남새류
culpability klpblti culpableness culpably,괘씸하게도
be under cultivation,경작되고있다
cultural studies,교양과목
the culture of oysters oyster culture,굴양식
wood pigeon,비둘기
a bed cum sitting room,침실겸전실
cum dividend,증권
kjumjlt,암장생집적암
cumulated,집적한
a cumulative effect of daily study,매일 하는 공부의 겹쳐쌓인 효과
cumulative labour,축적로동
a cumulative book index,도서루적찾아보기
a cup and saucer,받침접시로 받친 차잔
a cup of coffee,커피 한잔
a cup of butter,빠다 한잔
that's not her cup of tea,그건 그 녀성이 좋아하는것이 아니다
cuplike,잔모양의
play cupid,중매를 서다
cupola,에 를 달다
bean curd,두부
curds and whey,응유제식료품
be cured of a disease,병이 낫다
the cure of souls,목사직
a dusktodawn curfew,초저녁부터 새벽까지의 통행금지시간
out of curiosity,호기심에서
arouse a lot of curiosity,많은 호기심을 불러일으키다
Curiosity killed the cat,호기심이 신세를 망친다
steal a curious look at,호기심에 찬 눈빛으로 슬쩍 엿보다
curiouser and curiouser,갈수록 기기묘묘한
curiously enough,기묘하게도
